replicate,chrom,q,coverage,tau,f1,auc
113,18,-0.0249160658,0.8912685337726524,5.0,0.0,0.5839036755386565
113,21,-0.0249160658,0.8912685337726524,3.0,0.0,0.4953687821612349
114,13,-0.0279790328,0.8968386023294509,5.5,0.0,0.273921200750469
114,18,-0.0279790328,0.8968386023294509,5.5,0.0,0.44287531806615776
114,21,-0.0279790328,0.8968386023294509,3.0,0.0,0.6134171907756814
115,13,-0.027325234599999998,0.8981324278438031,5.5,0.0,0.458932958932959
115,18,-0.027325234599999998,0.8981324278438031,5.5,0.0,0.5668002672010688
115,21,-0.027325234599999998,0.8981324278438031,3.0,0.0,0.47840103159252095
116,13,-0.0288124278,0.8978930307941653,5.5,0.0,0.42842792566549476
116,18,-0.0288124278,0.8978930307941653,5.5,0.0,0.5441965973534971
116,21,-0.0288124278,0.8978930307941653,3.0,0.0,0.5131498470948013
117,13,-0.028179055,0.8998357963875205,5.5,0.0,0.36047529706066295
117,18,-0.028179055,0.8998357963875205,5.0,0.0,0.491912894189934
117,21,-0.028179055,0.8998357963875205,3.0,0.0,0.548020331728197
118,13,-0.027120967,0.8921568627450981,5.5,0.0,0.34182141665740023
118,18,-0.027120967,0.8921568627450981,5.0,0.0,0.5518330700806384
118,21,-0.027120967,0.8921568627450981,3.0,0.0,0.38878543347817096
119,13,-0.02665626,0.8970588235294118,5.5,0.0,0.46751876172607876
119,18,-0.02665626,0.8970588235294118,5.5,0.0,0.6139370584457289
119,21,-0.02665626,0.8970588235294118,3.0,0.0,0.5959183673469387
120,13,-0.0269343718,0.9069020866773676,5.5,0.0,0.3514389421830438
120,18,-0.0269343718,0.9069020866773676,5.5,0.0,0.5552024922118379
120,21,-0.0269343718,0.9069020866773676,3.0,0.0,0.5924219150025601
121,13,-0.0280028002,0.8993399339933993,5.5,0.0,0.3936078936078936
121,18,-0.0280028002,0.8993399339933993,5.5,0.0,0.5279347725377559
121,21,-0.0280028002,0.8993399339933993,3.0,0.0,0.758812615955473
122,13,-0.0268363806,0.8988580750407831,3.5,0.0,0.49614452522582064
122,18,-0.0268363806,0.8988580750407831,5.0,0.0,0.5845388324612701
122,21,-0.0268363806,0.8988580750407831,3.0,0.0,0.10420475319926872
