level,chrom,rule,TP,FN,FP,TN,sens,spec,ppv,npv,f1,coverage,auc,tau,tau_min,tau_max,cv_cost,q,replicate
record,13,na,0,19,1,528,0.0,0.998109640831758,0.0,0.9652650822669104,0.0,0.9042904290429042,0.39926375485026366,5.5,5.5,5.5,232.0,-0.026564639,12
pregnant,13,conservative,0,17,1,129,0.0,0.9923076923076923,0.0,0.8835616438356164,0.0,1.0,0.4434389140271493,5.5,5.5,5.5,232.0,-0.026564639,12
pregnant,13,majority,0,17,0,130,0.0,1.0,0.0,0.8843537414965986,0.0,1.0,0.4434389140271493,5.5,5.5,5.5,232.0,-0.026564639,12
pregnant,13,max_risk,0,17,1,129,0.0,0.9923076923076923,0.0,0.8835616438356164,0.0,1.0,0.4434389140271493,5.5,5.5,5.5,232.0,-0.026564639,12
record,18,na,0,17,0,531,0.0,1.0,0.0,0.968978102189781,0.0,0.9042904290429042,0.5565525645286363,5.5,5.5,5.5,198.0,-0.026564639,12
pregnant,18,conservative,0,24,0,123,0.0,1.0,0.0,0.8367346938775511,0.0,1.0,0.5199864498644986,5.5,5.5,5.5,198.0,-0.026564639,12
pregnant,18,majority,0,24,0,123,0.0,1.0,0.0,0.8367346938775511,0.0,1.0,0.5199864498644986,5.5,5.5,5.5,198.0,-0.026564639,12
pregnant,18,max_risk,0,24,0,123,0.0,1.0,0.0,0.8367346938775511,0.0,1.0,0.5199864498644986,5.5,5.5,5.5,198.0,-0.026564639,12
record,21,na,0,15,0,533,0.0,1.0,0.0,0.9726277372262774,0.0,0.9042904290429042,0.5919949968730458,3.0,3.0,3.0,180.0,-0.026564639,12
pregnant,21,conservative,0,13,0,134,0.0,1.0,0.0,0.9115646258503401,0.0,1.0,0.4351320321469575,3.0,3.0,3.0,180.0,-0.026564639,12
pregnant,21,majority,0,13,0,134,0.0,1.0,0.0,0.9115646258503401,0.0,1.0,0.4351320321469575,3.0,3.0,3.0,180.0,-0.026564639,12
pregnant,21,max_risk,0,13,0,134,0.0,1.0,0.0,0.9115646258503401,0.0,1.0,0.4351320321469575,3.0,3.0,3.0,180.0,-0.026564639,12
